Designator,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Layer,Rotation,Comment,,,Ref,Val,Package,PosX,PosY,Rot,Side
R13,R_0402,8.6868,42.9514,8.6868,42.9514,8.6868,42.9514,,,,,,R13,33,R_0402,8.6868,42.9514,0,bottom
R16,R_0402,70.6755,70.1675,70.6755,70.1675,70.6755,70.1675,,,,,,R16,4.7K,R_0402,70.6755,70.1675,232.5,bottom
R18,R_1206,84.6328,45.593,84.6328,45.593,84.6328,45.593,,,,,,R18,4.7K,R_1206,84.6328,45.593,270,bottom
R19,R_0402,29.845,68.199,29.845,68.199,29.845,68.199,,,,,,R19,390K (1%),R_0402,29.845,68.199,90,bottom
R20,R_0402,70.485,19.05,70.485,19.05,70.485,19.05,,,,,,R20,390K (1%),R_0402,70.485,19.05,270,bottom
R21,R_0402,40.64,18.415,40.64,18.415,40.64,18.415,,,,,,R21,390K (1%),R_0402,40.64,18.415,270,bottom
R22,R_0402,64.643,69.723,64.643,69.723,64.643,69.723,,,,,,R22,390K (1%),R_0402,64.643,69.723,0,bottom
R23,R_0402,71.7296,69.5452,71.7296,69.5452,71.7296,69.5452,,,,,,R23,4.7K,R_0402,71.7296,69.5452,232.5,bottom
R24,R_0402,93.981627,40.131821,93.981627,40.131821,93.981627,40.131821,,,,,,R24,390K (1%),R_0402,93.981627,40.131821,270,bottom
R25,R_0402,23.9014,51.2064,23.9014,51.2064,23.9014,51.2064,,,,,,R25,390K (1%),R_0402,23.9014,51.2064,0,bottom
R26,R_0402,74.6578,36.8808,74.6578,36.8808,74.6578,36.8808,,,,,,R26,390K (1%),R_0402,74.6578,36.8808,180,bottom
R39,R_0402,37.69,56.65,37.69,56.65,37.69,56.65,,,,,,R39,10K,R_0402,37.69,56.65,90,bottom
R41,R_0402_1005Metric,69.7865,70.8025,69.7865,70.8025,69.7865,70.8025,,,,,,R41,4.7K,R_0402_1005Metric,69.7865,70.8025,232.5,bottom
R45,R_0402_1005Metric,72.666251,68.830224,72.666251,68.830224,72.666251,68.830224,,,,,,R45,4.7K,R_0402_1005Metric,72.666251,68.830224,232.5,bottom
U1,SOIC-8_3.9x4.9mm_P1.27mm,66.675,46.4566,66.675,46.4566,66.675,46.4566,,,,,,U1,AT25xxx,SOIC-8_3.9x4.9mm_P1.27mm,66.675,46.4566,180,bottom
U3,SOT-23-6,32.5,69.6,32.5,69.6,32.5,69.6,,,,,,U3,SiP32510,SOT-23-6,32.5,69.6,180,bottom
U4,SOT-23-6,67.6,18.5,67.6,18.5,67.6,18.5,,,,,,U4,SiP32510,SOT-23-6,67.6,18.5,0,bottom
U6,XMC4200-64LQFP,56.41817,65.629398,56.41817,65.629398,56.41817,65.629398,,,,,,U6,XMC4200-F64,XMC4200-64LQFP,56.41817,65.629398,270,bottom
U7,SOT-23-6,38,17.5,38,17.5,38,17.5,,,,,,U7,SiP32510,SOT-23-6,38,17.5,270,bottom
U8,SOT-23-6,64.8,72.1,64.8,72.1,64.8,72.1,,,,,,U8,SiP32510,SOT-23-6,64.8,72.1,90,bottom
U9,PQFN50P300X250X86-14N,35.12,58.92,35.12,58.92,35.12,58.92,,,,,,U9,LSM6DS3,PQFN50P300X250X86-14N,35.12,58.92,180,bottom
U10,SOT-23-6,91.365427,40.023021,91.365427,40.023021,91.365427,40.023021,,,,,,U10,SiP32510,SOT-23-6,91.365427,40.023021,270,bottom
U11,SOT-23-6,24.5872,48.4378,24.5872,48.4378,24.5872,48.4378,,,,,,U11,SiP32510,SOT-23-6,24.5872,48.4378,0,bottom
U12,SOT-23-6,46.15,49.6,46.15,49.6,46.15,49.6,,,,,,U12,SiP32510,SOT-23-6,46.15,49.6,0,bottom
U13,SOT-23-6,81.407,56.515,81.407,56.515,81.407,56.515,,,,,,U13,MCP4012T-503E/CH,SOT-23-6,81.407,56.515,0,bottom
U14,SOT-23-6,74.168,39.37,74.168,39.37,74.168,39.37,,,,,,U14,SiP32510,SOT-23-6,74.168,39.37,180,bottom
U15,SOT-23-6,20.573912,47.443684,20.573912,47.443684,20.573912,47.443684,,,,,,U15,TLV493D,SOT-23-6,20.573912,47.443684,262.8,bottom
U17,SOT-23-6,80.645,39.826432,80.645,39.826432,80.645,39.826432,,,,,,U17,TLV493D,SOT-23-6,80.645,39.826432,82.8,bottom
U19,SOT-23-6,37.918912,71.246684,37.918912,71.246684,37.918912,71.246684,,,,,,U19,TLV493D,SOT-23-6,37.918912,71.246684,205,bottom
U20,SOT-23-6,32.571912,19.649684,32.571912,19.649684,32.571912,19.649684,,,,,,U20,TLV493D,SOT-23-6,32.571912,19.649684,322.5,bottom
U21,SOT-23-6,68.999912,67.816684,68.999912,67.816684,68.999912,67.816684,,,,,,U21,TLV493D,SOT-23-6,68.999912,67.816684,142.5,bottom
U22,SOT-23-6,62.339912,15.764684,62.339912,15.764684,62.339912,15.764684,,,,,,U22,TLV493D,SOT-23-6,62.339912,15.764684,22.5,bottom
Y1,Crystal_NX3225,46.1,63.4,46.1,63.4,46.1,63.4,,,,,,Y1,12MHz,Crystal_NX3225,46.1,63.4,90,bottom
